127.0.0.1 - - [22/Nov/2023:21:14:09 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:11 -0500] "GET /BookStore/css/bookstore.css HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:11 -0500] "GET /BookStore/js/bookstore.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:11 -0500] "GET /BookStore/js/jquery-1.9.1.js HTTP/1.1" 200 277978
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/ HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430248064-small_3.png HTTP/1.1" 200 20729
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430239963-small_1.png HTTP/1.1" 200 25477
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430247647-small_3.png HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430231684-small_8.png HTTP/1.1" 200 25523
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430249474-small_1.png HTTP/1.1" 200 19596
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430248187-small_1.png HTTP/1.1" 200 18121
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430246596-small_1.png HTTP/1.1" 200 19926
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430257349-small_1.png HTTP/1.1" 200 22736
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430243779-small_2.png HTTP/1.1" 200 19135
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /BookStore/images/A9781430247401-small_1.png HTTP/1.1" 200 21653
0:0:0:0:0:0:0:1 - - [22/Nov/2023:21:14:12 -0500] "GET /favicon.ico HTTP/1.1" 404 762
